type,n,msecs,kbytes
fillArcs,5000,851,3201.545
fillArcs,5000,998,3201.545
fillArcs,5000,982,3201.545
fillArcs,10000,762,5250.143
fillArcs,10000,1969,5250.143
fillArcs,10000,2018,5250.143
fillArcs,10000,1813,5250.143
fillArcs,10000,1809,5250.143
fillArcs,10000,1821,5250.143
fillArcs,10000,1804,5250.143
fillArcs,10000,1630,5250.143
fillArcs,10000,1776,5250.143
fillArcs,10000,1530,5250.143
fillArcs,50000,3010,6861.106
fillArcs,50000,9355,6861.106
fillArcs,50000,7756,6861.106
fillArcs,50000,7455,6861.106
fillArcs,50000,5943,6861.106
fillArcs,50000,6714,6861.106
fillArcs,50000,6631,6861.106
fillArcs,50000,5997,6861.106
fillArcs,50000,6304,6861.106
fillArcs,50000,7429,6861.106
fillArcs,100000,5823,13022.192
fillArcs,100000,14765,13022.192
fillArcs,100000,13920,13022.192
fillArcs,100000,12730,13022.192
fillArcs,100000,14909,13022.192
fillArcs,100000,10303,13022.192
fillArcs,100000,10345,13022.192
fillArcs,100000,13173,13022.192
fillArcs,100000,8939,13022.192
fillArcs,100000,10721,13022.192
fillArcs,500000,18690,59682.652
fillArcs,500000,53348,59682.652
fillArcs,500000,49886,59682.652
fillArcs,500000,49914,59682.652
fillArcs,500000,52095,59682.652
fillArcs,500000,47332,59682.652
fillArcs,500000,50089,59682.652
fillArcs,500000,52784,59682.652
fillArcs,500000,54794,59682.652
fillArcs,500000,47321,59682.652
fillCircles,100,142,1189.82
fillCircles,100,117,1189.82
fillCircles,100,197,1189.82
fillCircles,100,187,1189.82
fillCircles,100,101,1189.82
fillCircles,100,118,1189.82
fillCircles,100,97,1189.82
fillCircles,100,89,1189.82
fillCircles,100,83,1189.82
fillCircles,100,84,1189.82
fillCircles,500,178,1199.188
fillCircles,500,316,1199.188
fillCircles,500,353,1199.188
fillCircles,500,265,1199.188
fillCircles,500,249,1199.188
fillCircles,500,250,1199.188
fillCircles,500,253,1199.188
fillCircles,500,211,1199.188
fillCircles,500,251,1199.188
fillCircles,500,380,1199.188
fillCircles,1000,227,1482.76
fillCircles,1000,406,1482.76
fillCircles,1000,372,1482.76
fillCircles,1000,231,1482.76
fillCircles,1000,219,1482.76
fillCircles,1000,221,1482.76
fillCircles,1000,312,1482.76
fillCircles,1000,358,1482.76
fillCircles,1000,331,1482.76
fillCircles,1000,354,1482.76
