type,n,msecs,kbytes
fillArcs,500,159,67.1875
fillArcs,500,161,67.2275390625
fillArcs,500,159,67.2734375
fillArcs,500,161,67.31640625
fillArcs,1000,303,82.861328125
fillArcs,1000,319,82.9697265625
fillArcs,1000,320,83.0166015625
fillArcs,1000,322,83.0634765625
fillArcs,1000,320,83.1103515625
fillArcs,1000,321,83.1572265625
fillArcs,1000,322,83.2041015625
fillArcs,1000,322,83.2509765625
fillArcs,1000,322,83.2978515625
fillArcs,1000,322,83.3447265625
fillArcs,5000,1540,306.861328125
fillArcs,5000,1608,306.9716796875
fillArcs,5000,1620,307.0205078125
fillArcs,5000,1620,307.0693359375
fillArcs,5000,1623,307.1181640625
fillArcs,5000,1620,307.1669921875
fillArcs,5000,1620,307.2158203125
fillArcs,5000,1619,307.2646484375
fillArcs,5000,1618,307.3134765625
fillArcs,5000,1621,307.3623046875
fillArcs,10000,3094,562.861328125
fillArcs,10000,3245,562.97265625
fillArcs,10000,3240,563.0205078125
fillArcs,10000,3241,563.0703125
fillArcs,10000,3245,563.1171875
fillArcs,10000,3244,563.1640625
fillArcs,10000,3245,563.2109375
fillArcs,10000,3241,563.2578125
fillArcs,10000,3245,563.3046875
fillArcs,10000,3241,563.3515625
fillArcs,50000,15022,2100.763671875
fillArcs,50000,16161,2100.876953125
fillArcs,50000,16154,2100.927734375
fillArcs,50000,16149,2100.978515625
fillArcs,50000,16152,2101.029296875
fillArcs,50000,16162,2101.080078125
fillArcs,50000,16154,2101.130859375
fillArcs,50000,16149,2101.181640625
fillArcs,50000,16164,2101.232421875
fillArcs,50000,16158,2101.283203125
fillArcs,100000,30683,4149.294921875
fillArcs,100000,32449,4149.4091796875
fillArcs,100000,32458,4149.4619140625
fillArcs,100000,32451,4149.5146484375
fillArcs,100000,32470,4149.5673828125
fillArcs,100000,32462,4149.6201171875
fillArcs,100000,32459,4149.6728515625
fillArcs,100000,32446,4149.7255859375
fillArcs,100000,32454,4149.7783203125
fillArcs,100000,32448,4149.8310546875
fillArcs,500000,154731,16437.294921875
fillArcs,500000,161417,16437.411132813
fillArcs,500000,160770,16437.46484375
fillArcs,500000,161006,16437.517578125
fillArcs,500000,160618,16437.571289063
fillArcs,500000,160535,16437.625
fillArcs,500000,160614,16437.672851563
fillArcs,500000,160882,16437.7265625
fillArcs,500000,162056,16437.778320313
fillArcs,500000,168562,16437.83203125
fillCircles,100,20,54.810546875
fillCircles,100,22,54.919921875
fillCircles,100,24,54.966796875
fillCircles,100,24,55.013671875
fillCircles,100,24,55.060546875
fillCircles,100,24,55.107421875
fillCircles,100,24,55.154296875
fillCircles,100,24,55.201171875
fillCircles,100,24,55.248046875
fillCircles,100,24,55.294921875
fillCircles,500,97,66.810546875
fillCircles,500,103,66.919921875
fillCircles,500,107,66.9677734375
fillCircles,500,111,67.0166015625
fillCircles,500,177,67.0654296875
fillCircles,500,178,67.1142578125
fillCircles,500,179,67.1630859375
fillCircles,500,179,67.2119140625
fillCircles,500,179,67.2607421875
fillCircles,500,178,67.3095703125
fillCircles,1000,340,82.810546875
fillCircles,1000,356,82.921875
fillCircles,1000,361,82.9677734375
fillCircles,1000,361,83.017578125
fillCircles,1000,361,83.06640625
fillCircles,1000,360,83.1142578125
fillCircles,1000,361,83.1640625
fillCircles,1000,360,83.2109375
fillCircles,1000,361,83.2578125
fillCircles,1000,363,83.3046875
fillCircles,5000,1708,306.810546875
fillCircles,5000,1784,306.923828125
fillCircles,5000,1792,306.974609375
fillCircles,5000,1793,307.025390625
fillCircles,5000,1793,307.076171875
fillCircles,5000,1792,307.126953125
fillCircles,5000,1793,307.177734375
fillCircles,5000,1806,307.228515625
fillCircles,5000,1794,307.279296875
fillCircles,5000,1791,307.330078125
fillCircles,10000,3411,562.810546875
fillCircles,10000,3594,562.9248046875
fillCircles,10000,3592,562.9775390625
fillCircles,10000,3593,563.0302734375
fillCircles,10000,3592,563.0830078125
fillCircles,10000,3588,563.1357421875
fillCircles,10000,3596,563.1884765625
fillCircles,10000,3587,563.2412109375
fillCircles,10000,3584,563.2939453125
fillCircles,10000,3576,563.3466796875
fillCircles,50000,16524,2100.712890625
fillCircles,50000,17851,2100.8291015625
fillCircles,50000,17868,2100.8837890625
fillCircles,50000,17861,2100.9384765625
fillCircles,50000,17876,2100.9931640625
fillCircles,50000,17878,2101.0478515625
fillCircles,50000,17858,2101.1025390625
fillCircles,50000,17863,2101.1572265625
fillCircles,50000,17864,2101.2119140625
fillCircles,50000,17879,2101.2666015625
fillCircles,100000,33488,4149.244140625
fillCircles,100000,35700,4149.361328125
fillCircles,100000,35709,4149.416015625
fillCircles,100000,35718,4149.470703125
fillCircles,100000,34850,4149.525390625
fillCircles,100000,34147,4149.580078125
fillCircles,100000,34135,4149.634765625
fillCircles,100000,34134,4149.689453125
fillCircles,100000,34148,4149.744140625
fillCircles,100000,34140,4149.798828125
fillCircles,500000,163538,16437.244140625
fillCircles,500000,170953,16437.36328125
fillCircles,500000,170798,16437.418945313
fillCircles,500000,170874,16437.475585938
fillCircles,500000,170833,16437.532226563
fillCircles,500000,170822,16437.588867188
fillCircles,500000,170797,16437.645507813
fillCircles,500000,170795,16437.702148438
fillCircles,500000,171385,16437.758789063
fillCircles,500000,171658,16437.815429688
fillRects,100,40,55.8935546875
fillRects,100,45,56.001953125
fillRects,100,37,56.046875
fillRects,100,38,56.0888671875
fillRects,100,37,56.134765625
fillRects,100,37,56.1796875
fillRects,100,38,56.22265625
fillRects,100,37,56.2666015625
fillRects,100,38,56.3125
fillRects,100,36,56.3525390625
fillRects,500,164,70.8935546875
fillRects,500,171,71.0029296875
fillRects,500,173,71.0498046875
fillRects,500,175,71.0966796875
fillRects,500,174,71.1435546875
fillRects,500,174,71.1904296875
fillRects,500,173,71.2373046875
fillRects,500,174,71.2841796875
fillRects,500,174,71.3310546875
fillRects,500,174,71.3779296875
fillRects,1000,334,90.8935546875
fillRects,1000,345,91.00390625
fillRects,1000,349,91.0498046875
fillRects,1000,349,91.09765625
fillRects,1000,349,91.1435546875
fillRects,1000,351,91.19140625
fillRects,1000,350,91.2373046875
fillRects,1000,351,91.28515625
fillRects,1000,350,91.3310546875
fillRects,1000,351,91.37890625
fillRects,5000,1664,370.8935546875
fillRects,5000,1745,371.005859375
fillRects,5000,1752,371.0546875
fillRects,5000,1754,371.1015625
fillRects,5000,1757,371.1484375
fillRects,5000,1755,371.1953125
fillRects,5000,1753,371.2421875
fillRects,5000,1755,371.2890625
fillRects,5000,1754,371.3359375
fillRects,5000,1754,371.3828125
fillRects,10000,3310,690.8935546875
fillRects,10000,3481,691.0068359375
fillRects,10000,3483,691.0576171875
fillRects,10000,3487,691.1083984375
fillRects,10000,3485,691.1591796875
fillRects,10000,3489,691.2099609375
fillRects,10000,3490,691.2607421875
fillRects,10000,3480,691.3115234375
fillRects,10000,3486,691.3623046875
fillRects,10000,3490,691.4130859375
fillRects,50000,16188,2613.2060546875
fillRects,50000,17445,2613.3212890625
fillRects,50000,17461,2613.3740234375
fillRects,50000,17526,2613.4267578125
fillRects,50000,17487,2613.4794921875
fillRects,50000,17449,2613.5322265625
fillRects,50000,17420,2613.5849609375
fillRects,50000,17455,2613.6376953125
fillRects,50000,17454,2613.6904296875
fillRects,50000,17442,2613.7431640625
fillRects,100000,32969,5173.7373046875
fillRects,100000,34823,5173.853515625
fillRects,100000,34936,5173.90625
fillRects,100000,35009,5173.955078125
fillRects,100000,34980,5174.0078125
fillRects,100000,35083,5174.05859375
fillRects,100000,34831,5174.1103515625
fillRects,100000,34826,5174.1640625
fillRects,100000,34836,5174.21484375
fillRects,100000,34873,5174.2666015625
fillRects,500000,165480,20533.737304688
fillRects,500000,183927,20533.854492188
fillRects,500000,184889,20533.909179688
fillRects,500000,184317,20533.963867188
fillRects,500000,177388,20534.018554688
fillRects,500000,174893,20534.073242188
fillRects,500000,174823,20534.127929688
fillRects,500000,174852,20534.182617188
fillRects,500000,174842,20534.237304688
fillRects,500000,174594,20534.291992188
fillShapes,100,6,57.412109375
fillShapes,100,6,57.51953125
